File,DER,JER,B3-Precision,B3-Recall,B3-F1,"GKT(ref, sys)","GKT(sys, ref)",H(ref|sys),H(sys|ref),MI,NMI
B007,33.29149912843769,43.6021166342383,0.5385293028791027,0.629499349864398,0.5804717979290325,0.22230741144173757,0.18680546812158255,1.2656810840975605,0.9316979026013906,0.21717243069187978,0.16638725586929656
B010,42.00937830000503,55.94364005336793,0.4793143704532984,0.4939807504979584,0.48653705817320025,0.07088535342999633,0.061786767382295715,1.2413208875524475,1.2070584201332302,0.0755376154155009,0.05812309982416811
B014,41.60201423315213,68.73529696569244,0.4979095570302817,0.7867908497373208,0.6098708794743217,0.21823965345233262,0.03276953893850142,1.2273832148344148,0.5315789563744356,0.10962755624210363,0.11840044040121978
B021,50.72704002879905,64.13231123093014,0.4212078999038302,0.473624465505423,0.445880980997763,0.011842461996202229,0.005397429708516536,1.4203235079147658,1.221506994751592,0.02111078438332238,0.015773866596305097
B022,26.08566540689547,59.09407923588164,0.5958119152537167,0.9121177071000957,0.7207904002254878,0.08169480526459817,0.026285707536966862,1.06056465533812,0.2847619934669982,0.0396942482174009,0.06643578464656573
B024,48.44765335940307,60.464954493296176,0.38348802271342186,0.559231372928533,0.4549785109653706,0.032952281460279384,0.02983121566677154,1.5554113375672378,1.144396420120114,0.040322653163920315,0.0293265626137777
B025,36.84211107534357,50.88461731250189,0.5586752768411711,0.5538677345756332,0.5562611184863362,0.13284491078075697,0.1008473278659033,1.1503505865772652,1.047800486202341,0.1266262462565136,0.10339969542608572
B026,36.70011528406968,48.36106469595544,0.5274745551484163,0.5281107954907416,0.5277924835767829,0.160258355119277,0.1523158183933979,1.206557847330895,1.1700280638175418,0.18325502411917519,0.1336236707885486
B034,54.018463415603335,63.935516542825845,0.41296688798613085,0.5482373393206019,0.4710837956495525,0.06565839045041412,0.0561985251738731,1.5005576559497469,1.0875473522638015,0.0939294084501427,0.06843503524942521
B036,28.345722155168733,60.13299122636321,0.6148304235419703,0.671775791867937,0.6420429027817454,0.31006784694992223,0.3067593188941648,1.0044650857422965,0.8479905760565812,0.319161064142541,0.2567814179919482
B038,39.8501927601664,52.56998043793173,0.4675736388921086,0.5971340045382871,0.5244709590110809,0.1249682054640368,0.09592511809345765,1.3658090120081385,0.8848897916387756,0.10443334952159967,0.08659157873061561
B040,32.052376949243126,43.041687160712215,0.5730160217235235,0.5701656493555491,0.5715872820261966,0.23486066245692883,0.22645268458133289,1.1094098560569485,1.0593106602646158,0.23838585023405898,0.180252738276314
B042,46.19448041819753,72.45794274309044,0.5371069895057795,0.5638506931143777,0.5501540215218182,0.11856466769703529,0.10013120474384174,1.213100937359724,0.9987597818668421,0.13279973080279367,0.10760984115760128
